cccd,sobaodanh,d_phuongthuc,TO,LI,HO,SI,SU,DI,VA,N1_THI,N1_CC,CNCN,CNNN,TI,KTPL,NL1,NK1,NK2,NK3,NK4,NK5,NK6
TS_12305,TS_12305,PT1,8.5,7.25,5.85,0,0,0,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12306,TS_12306,PT1,4.25,0,0,0,7.1,7.75,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12307,TS_12307,PT1,6.6,8.25,0,0,0,0,8.5,6,6,0,0,0,0,0,0,0,0,0,0,0
TS_12308,TS_12308,PT1,8,7.25,0,0,0,0,6,5.75,5.75,0,0,0,0,0,0,0,0,0,0,0
TS_12309,TS_12309,PT1,5.5,0,0,0,7.75,8.25,6,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12310,TS_12310,PT1,3.7,0,0,0,8.5,9.5,7.75,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12311,TS_12311,PT1,2.25,0,0,0,7.75,6.75,7,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12312,TS_12312,PT1,7.5,7.5,0,0,0,0,4.5,5.75,5.75,0,0,0,0,0,0,0,0,0,0,0
TS_12313,TS_12313,PT1,5.35,0,0,0,8.5,9.25,9,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12314,TS_12314,PT1,3.1,6.35,0,0,0,0,7,0,0,0,0,0,7.75,0,0,0,0,0,0,0
TS_12315,TS_12315,PT1,5.25,0,0,0,0,0,6.75,5.75,5.75,0,0,0,8,0,0,0,0,0,0,0
TS_12316,TS_12316,PT1,5.75,7.6,0,0,0,0,5.75,5.75,5.75,0,0,0,0,0,0,0,0,0,0,0
TS_12317,TS_12317,PT1,5.85,8.5,0,0,0,0,7,8.25,8.25,0,0,0,0,0,0,0,0,0,0,0
TS_12318,TS_12318,PT1,6.75,6.25,0,0,0,0,7,7.75,7.75,0,0,0,0,0,0,0,0,0,0,0
TS_12319,TS_12319,PT1,6.75,6.85,0,0,0,0,8.5,3.75,3.75,0,0,0,0,0,0,0,0,0,0,0
TS_12320,TS_12320,PT1,5,7,0,0,0,0,6.5,5.25,5.25,0,0,0,0,0,0,0,0,0,0,0
TS_12321,TS_12321,PT1,6.25,0,0,0,7.75,0,7.75,6.5,6.5,0,0,0,0,0,0,0,0,0,0,0
TS_12322,TS_12322,PT1,5,7.25,0,0,0,0,8.25,5,5,0,0,0,0,0,0,0,0,0,0,0
TS_12323,TS_12323,PT1,4.25,0,0,0,0,0,7.25,5.75,5.75,0,0,0,6.25,0,0,0,0,0,0,0
TS_12324,TS_12324,PT1,9,0,0,0,0,9,7.25,7.5,7.5,0,0,0,0,0,0,0,0,0,0,0
TS_12325,TS_12325,PT1,6.5,8.25,6,0,0,0,6.75,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12326,TS_12326,PT1,5.25,7.75,0,0,0,0,7.75,5,5,0,0,0,0,0,0,0,0,0,0,0
TS_12327,TS_12327,PT1,6,0,0,0,0,0,7.75,5,5,0,0,0,8.75,0,0,0,0,0,0,0
TS_12328,TS_12328,PT1,6.5,8.25,0,0,0,0,8.75,4.25,4.25,0,0,0,0,0,0,0,0,0,0,0
TS_12329,TS_12329,PT1,5.25,0,0,0,0,7,6.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0
TS_12330,TS_12330,PT1,5.75,0,0,0,8.5,9.5,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12331,TS_12331,PT1,4.25,0,0,0,8.5,0,6.5,5,5,0,0,0,0,0,0,0,0,0,0,0
TS_12332,TS_12332,PT1,5.25,8.75,8.75,0,0,0,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12333,TS_12333,PT1,6.35,0,0,0,8.25,0,9,5.75,5.75,0,0,0,0,0,0,0,0,0,0,0
TS_12334,TS_12334,PT1,2.6,0,0,0,0,5.1,6,0,0,0,0,0,7.5,0,0,0,0,0,0,0
TS_12335,TS_12335,PT1,5.35,6.35,0,0,0,0,5.5,7,7,0,0,0,0,0,0,0,0,0,0,0
TS_12336,TS_12336,PT1,5.5,0,0,0,7.75,8.75,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12337,TS_12337,PT1,4,5.5,5.1,0,0,0,6.75,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12338,TS_12338,PT1,5.5,0,0,0,6.75,0,7,0,0,0,0,0,9,0,0,0,0,0,0,0
TS_12339,TS_12339,PT1,6.25,0,0,0,0,0,8.25,3.5,3.5,0,0,0,6.75,0,0,0,0,0,0,0
TS_12340,TS_12340,PT1,5.5,0,0,0,0,9,7.25,0,0,0,0,0,8.75,0,0,0,0,0,0,0
TS_12341,TS_12341,PT1,9,8.75,8.25,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12342,TS_12342,PT1,6.1,6.2,0,0,0,0,7.75,0,0,0,0,0,8,0,0,0,0,0,0,0
TS_12343,TS_12343,PT1,5.25,0,0,0,0,0,8.5,3.5,3.5,0,0,0,8.75,0,0,0,0,0,0,0
TS_12344,TS_12344,PT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12345,TS_12345,PT1,4,0,0,0,7.5,8.75,7,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12346,TS_12346,PT1,4.25,0,0,0,0,0,6.5,5,5,0,0,0,8.75,0,0,0,0,0,0,0
TS_12347,TS_12347,PT1,5.5,0,7.75,0,0,0,6,5.25,5.25,0,0,0,0,0,0,0,0,0,0,0
TS_12348,TS_12348,PT1,5.5,0,0,0,0,0,8,4.75,4.75,0,0,0,9,0,0,0,0,0,0,0
TS_12349,TS_12349,PT1,4.75,6.25,0,0,0,0,8.5,5,5,0,0,0,0,0,0,0,0,0,0,0
